n,k,count
1, 0, 1
2, 1, 0
3, 2, 2
4, 3, 10
5, 4, 39
6, 5, 159
2, 0, 1
3, 1, 1
4, 2, 11
5, 3, 55
6, 4, 251
7, 5, 1136
7, 0, 11
6, 0, 6
7, 1, 96
5, 0, 3
6, 1, 32
7, 2, 521
4, 0, 2
5, 1, 11
6, 2, 155
7, 3, 1025
3, 0, 1
4, 1, 3
5, 2, 42
6, 3, 245
7, 4, 1291
