n,k,count
1, 0, 1
2, 1, 0
3, 2, 2
4, 3, 10
5, 4, 39
6, 5, 159
2, 0, 1
3, 1, 1
4, 2, 9
5, 3, 45
6, 4, 212
7, 5, 977
7, 0, 5
6, 0, 3
7, 1, 64
5, 0, 1
6, 1, 21
7, 2, 366
4, 0, 1
5, 1, 8
6, 2, 113
7, 3, 780
3, 0, 0
4, 1, 2
5, 2, 31
6, 3, 190
7, 4, 1040
