n,k,count
1, 0, 1
2, 1, 1
3, 2, 7
4, 3, 40
5, 4, 225
6, 5, 1278
2, 0, 1
3, 1, 4
4, 2, 37
5, 3, 268
6, 4, 1845
7, 5, 12426
7, 0, 11
6, 0, 6
7, 1, 234
5, 0, 3
6, 1, 86
7, 2, 1856
4, 0, 2
5, 1, 32
6, 2, 542
7, 3, 6161
3, 0, 1
4, 1, 11
5, 2, 147
6, 3, 1365
7, 4, 11412
